,Word,Letter1,Letter2,Letter3,Letter4,Letter5,IsFeasible,ExpectedEntropy
0,cigar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,rebut,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,sissy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,humph,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,awake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,blush,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,focal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,evade,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,naval,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,serve,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,heath,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,dwarf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,model,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,karma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,stink,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,quiet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,bench,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,abate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,feign,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,major,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,death,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,fresh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,crust,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,stool,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,colon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,abase,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,marry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,react,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,batty,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,pride,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,floss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,helix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,croak,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,staff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,unfed,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,whelp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,trawl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,outdo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,adobe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,crazy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,sower,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,repay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,digit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,crate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,cluck,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,spike,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,mimic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,pound,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,maxim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,linen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,unmet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,flesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,booby,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,forth,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,first,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,stand,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,belly,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,ivory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,seedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,print,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,yearn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,drain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,bribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,stout,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,panel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,crass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,flume,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,offal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,agree,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,swirl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,argue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,bleed,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,flick,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,totem,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,wooer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,front,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,shrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,parry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,biome,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,lapel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,start,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,greet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,goner,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,golem,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,lusty,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,loopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,round,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,audit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,lying,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,gamma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,labor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,islet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,civic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,forge,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,corny,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,moult,0.0,0.0,0.0,0.0,0.0,0.0,0.0
